asof,collected_at_utc,ticker,target_end_date,eps_estimate,currency,proxy_weight
2026-09-11,2026-09-13T17:46:34+00:00,AAPL,2027-09-30,9.56757,USD,0.105841915129314
2026-09-11,2026-09-13T17:46:34+00:00,AMAT,2027-10-31,18.45479,USD,0.0079071211458347
2026-09-11,2026-09-13T17:46:34+00:00,AMD,2027-12-31,15.51049,USD,0.0183904574234606
2026-09-11,2026-09-13T17:46:34+00:00,AMGN,2027-12-31,24.40275,USD,0.0044527979326481
2026-09-11,2026-09-13T17:46:34+00:00,AMZN,2027-12-31,10.49351,USD,0.0604534524421078
2026-09-11,2026-09-13T17:46:34+00:00,ARM,2028-03-31,3.05576,USD,0.0061724721401085
2026-09-11,2026-09-13T17:46:34+00:00,ASML,2027-12-31,51.72248,EUR,0.0142378890138978
2026-09-11,2026-09-13T17:46:34+00:00,AVGO,2027-10-31,19.38391,USD,0.0377165688672324
2026-09-11,2026-09-13T17:46:34+00:00,COST,2027-08-31,22.67209,USD,0.0087578588815959
2026-09-11,2026-09-13T17:46:34+00:00,CRWD,2028-01-31,1.60591,USD,0.0046204440823783
2026-09-11,2026-09-13T17:46:34+00:00,CSCO,2028-07-31,5.60226,USD,0.0096491699812955
2026-09-11,2026-09-13T17:46:34+00:00,GOOG,2027-12-31,14.87383,USD,0.0895444820735724
2026-09-11,2026-09-13T17:46:34+00:00,GOOGL,2027-12-31,14.88243,USD,0.090358640867174
2026-09-11,2026-09-13T17:46:34+00:00,INTC,2027-12-31,2.04479,USD,0.0118770026990031
2026-09-11,2026-09-13T17:46:34+00:00,KLAC,2028-06-30,6.70539,USD,0.0051514057933082
2026-09-11,2026-09-13T17:46:34+00:00,LIN,2027-12-31,18.14542,USD,0.0046909414495235
2026-09-11,2026-09-13T17:46:34+00:00,LRCX,2028-06-30,11.65184,USD,0.0081450241194435
2026-09-11,2026-09-13T17:46:34+00:00,META,2027-12-31,33.94283,USD,0.0360327376081631
2026-09-11,2026-09-13T17:46:34+00:00,MRVL,2028-01-31,6.73275,USD,0.0046312672527188
2026-09-11,2026-09-13T17:46:34+00:00,MSFT,2028-06-30,23.57298,USD,0.0803290863177338
2026-09-11,2026-09-13T17:46:34+00:00,MU,2027-08-31,156.06607,USD,0.0240409951125207
2026-09-11,2026-09-13T17:46:34+00:00,NFLX,2027-12-31,3.81626,USD,0.0070344844245639
2026-09-11,2026-09-13T17:46:34+00:00,NVDA,2028-01-31,15.56753,USD,0.1150492742996755
